UR113344348	704AB5034D2930F45033E90FD45F15A6	Treasure Island - TI Hotel & Casino	Las_Vegas_Nevada	2011-06-14	We will not stay here again.	2	0	We waited in a line for an hour and a half to check in. There were only 4 check in clerks (working very slowly) to check in over a hundred customers. There was no appology, in fact we were treated rudley and then told our rooms would not be ready for several hours and this is after waiting in line all this time. When we asked why it owuld be so long for our suites to be ready, we were just told &quot;Hey as long as someone is gambling, we won't kick them out&quot; We then placed our baggage in hold where we told them there was insulin that need to be kept cold (it was not placed in a cool place and ruined) We were here on business as well as pleasure. After the long wait at the hotel and no time to change clothes or EAT, we hurried off to our meeting which we were way to late for and missed the MAIN reason we came to Las Vegas for! I have never written a complaint for a hotel or anything else on line and THIS DESERVED TO BE MY FIRST!<br/>You know I would have thought that at least the hotel would have sent a fruit basket to one of the suites I had booked or at least had said sorry for your wait, but NOPE!	3	-1	-1	-1	4	1	-1	3
UR113500488	55CEFCAB2384E85BF236C426C5CAB84D	Treasure Island - TI Hotel & Casino	Las_Vegas_Nevada	2011-06-14	Just another casino hotel; nothing to brag about	4	0	Pro: Economical, great location for the conference I was attending, did I mention economical????<br/><br/>Con: Check in was a pain; it was at least 30-45 minutes for us to complete the check in. Smokers in the casino, but we were expecting that. But just be warned about checking in.<br/><br/>Food was ok; tried the buffet, Kahunaville, and Pho. The desserts @ the buffet were great; everything was just what you would expect @ a casino restaurant.	4	4	-1	4	4	4	-1	4
UR113514069	60A0C23AC53E80610A0D86E3CF7E3D40	Treasure Island - TI Hotel & Casino	Las_Vegas_Nevada	2011-06-14	Suffered for months due to the Bed Bug Bites	1	4	I got bites all over my body. This has not just been painful but I needed professional medical treatment for months. I was moved to a different room on a smoking floor for the night before I could fly back and a phone and reference number to contact Treasure Island's Crisis Management. I called several times and my case was still under review and was promised that someone would get back to me what never happened. Finally I had to hire an attorney to represent my interest and I am willing to go to court, if necessary.<br/>Stefan Schultheis, Germany.	1	4	-1	1	1	1	-1	1
UR113599823	00F905575D88A1EB9007E2E07E73778E	Treasure Island - TI Hotel & Casino	Las_Vegas_Nevada	2011-06-15	Nothing to rave about	3	0	Just an average hotel, clean rooms, check in was horrendous. Had to wait an hour or so in line just to check in. There were only 4 staff at the check in counter. A very busy hotel. It would be nice to have a coffee making amenity in the room. No complimentary wi-fi.	-1	-1	-1	-1	-1	-1	-1	-1
UR113663296	D9D45B88712DA8D9076204671EACE3A1	Treasure Island - TI Hotel & Casino	Las_Vegas_Nevada	2011-06-15	great location - standard hotel nothing amazing	3	0	Stayed here with my sister, has a great location and perfect for being on the Strip, but it is very crazy inside like busy busy, some hotels on the strip are 5* unbelievable yet this may have a great location but its quite tired and old inside, and very smokey inside too, all the rooms have a slight smell of smoke.<br/><br/>if you want a cheap room and not too bothered how fancy the hotel is it is very good location and clean, nothing wrong with the hotel really, there are better casinos to bet in though in the fancier hotels.....if you are from the UK you will understand when i say it is a bit like Southend, the cheap and tacky side of Vegas.<br/><br/>The show outside is good fun, very Pussycat Dolls like but good fun.....<br/><br/>If you are not fussed where you stay but want a great location this is a reasonable hotel if you don't want to pay much, if you are looking for the best in Vegas then look elsewhere.	3	-1	-1	-1	4	4	-1	3
UR113732728	86E143357C0F1F3D8EAF0077E83CCF40	Treasure Island - TI Hotel & Casino	Las_Vegas_Nevada	2011-06-15	Good Deal, Not the best on the strip	3	0	This is my second time to Vegas in 8 months and my first time staying on the strip. Treasure Island is in a great location, not too far on either end of the strip and within walking distance to anything you want to see on the strip if you are ok with the heat. The rooms are very nice, checking in was pleasant, and the pool area is very nice as well. Free internet in the rooms and use of the gym was great. My partner and I decided to pay less for a hotel to spend money on shows/dinners, etc. so we did get a good deal on Treasure Island and I would definitely recommend it, however i would not stay here again just because I would want to try out a different hotel. I also am not very fond of the &quot;atmosphere&quot; in the casino, my partner and I prefer something more high-energy, but it does have a poker room that is rarely crowded. I think that we stayed in the most basic/cheapest room you can book and it was very nice.	3	4	-1	3	4	3	-1	5
UR113788060	4C646B61996BBD78E48E7BB149D4D537	Treasure Island - TI Hotel & Casino	Las_Vegas_Nevada	2011-06-16	Poor Customer Service	2	2	This hotel needs to go the way of the Sahara. What a dissapointment. 21st birthday present for my child, and was treated rudely by staff at Gilley's, The Coffee Shop, and the hotel staff. Quote was I don't care if I ever go back to Vegas, and ahead of the house at that. My second trip there, and I can'e even mark it up to someone having a bad day. Multiple pepole having bad days on the same day. Management needs to get the situation under control, are they are going to be part of the continued downturn in Vegas. Never again at TI. Got stuck with the worthless &quot;resort fee&quot; as well.	1	-1	-1	-1	3	1	-1	2
UR114097513	47DA50B25A57D7FA6424BEA8727F010E	Treasure Island - TI Hotel & Casino	Las_Vegas_Nevada	2011-06-17	Loved TI	4	0	Loved my stay at TI, 5 minute que on arrival and helpful front desk staff to check us in. We were given 3 rooms on the same floor all with fantastic views looking down the strip to Paris and the Bellagio, room was imaculate with possibly the most comftable bed i have ever slept in. Good food downstairs and more importantly excellent strawberry daquiri's from the bar! Best thing about TI is without doubt the Gillie Girl pit and the friendly stunners that are employed.	4	-1	-1	-1	5	4	-1	5
UR114297454	85EBDA2D5777C4F1D76DFEF9B4CBEC14	Treasure Island - TI Hotel & Casino	Las_Vegas_Nevada	2011-06-19	convenient location	4	0	hotel is located right on the strip within walking distance to major shows and events in the city; and priced lower compared to various other same star hotels on that avenue. there is a free parking lot with direct access to the hotel but the lobby area is a bit far from the parking lot so beware if you carry heavy luggage. <br/>we had reserved a room with strip view, were initially given a room at the 15th floor, which had a good but partial view to the city. when we requested to change it to a top floor the staff at the reception was very helpul to find an identical room for us and we enjoyed a beautiful view from the 30th floor for the rest of our two nights stay. the rooms are comfortable but do not have any freezer or minibar; they are however available against a daily fee. we asked for one but it was not delivered to our room despite our two phone calls to the reception and finally we gave up.<br/>at checkin the hotel offers discount coupons for a drink at its bar and for a buffet lunch at its restaurant among others. the buffet lunch had a big variety of food from mediterranean to sushi with unlimited soft drinks served and such discount is therefore of great value for hotel guests.<br/>generally speaking we enjoyed our stay and will stay at this hotel if we again travel to las vegas.	4	5	-1	5	5	3	-1	5
UR114328555	F0B52930977053F3697EEB7825CCBCC0	Treasure Island - TI Hotel & Casino	Las_Vegas_Nevada	2011-06-19	Great hotel for the price ...under $100 online	3	0	We stayed at the TI for 2 nights in June. We paid $57/night CAD from hotels.ca plus we were surprised with a $22.50/night US resort fee upon check in. The resort fee grants access to the gym, wifi, local &amp; toll free calls, boarding pass printing, $20 off a future stay.<br/>The location of the hotel is great. Right across from the Venetian, Wynn and next to the Mirage. We bought a 3day pass for the Deuce (bus that runs along the strip) for $20. Really came in handy.<br/>The pool was nice, not very clean by 2pm. A lot of people drinking and partying in the pool. We had just stayed at the Wynn 2 night earlier and what a difference in clientele. Wynn was a very classy pool (people and the pool itself) whereas TI was more of a party atmosphere. <br/>Overall good place to stay for the price and location.	4	-1	-1	-1	3	3	-1	4
UR114376749	D7A476A92F01973091AC14B6578A304D	Treasure Island - TI Hotel & Casino	Las_Vegas_Nevada	2011-06-19	Would go back	5	4	My buddy and I stayed at Treasure Island from June 12-16, 2011. Like many reviews on this site, yes the check-in line was long. But not unbearable. Remember that most hotels in Vegas have 2000-5000 rooms, you should expect to wait to check-in! The guy who checked us in was pretty cool, and very welcoming. We requested a smoking room, but they were doing upgrades on some of the smoking rooms, so he upgraded us to a smoking room on the 36th floor (penthouse view) with a great view of the strip. After being in Vegas many times, a view was not essential, but was greatly appreciated.<br/><br/>The room was really nice. 14 ft cielings, flat screen TV - and the most comfortable beds we've ever slept on. There were some postings about hearing noise from the neighbours - we never heard a thing. <br/><br/>They do have a resort fee of $22.40 (incl tax) per day. We already new about this before we went (plus people complain about it all over this site). It is a little pricey, but we were able to use a laptop in the room, which was great. also includes free local and toll-free calls. We got a great deal on the room, so $20 bucks extra per day was no big deal. <br/><br/>Housekeeping was attentive and did a good job. One and only complaint about that - one day they knocked on the door at 8:30am. No big deal, as we were awake, but some people may not want service that early.<br/><br/>We had the buffet for lunch on our last day, as we had a 2-for-1 coupon. The food was good, and lots of selection. We've eaten at their Mexican themed restaurant &quot;ISLA&quot; before, so thought we would try it again. The menu changed a bit, but was still really good. With our $50 food credit, our meal only cost $13 bucks!<br/><br/>For the gamblers - did not have a ton of luck at TI casino. Had one good night, winning about $400, but thats about it! But hey... thats why they call it gambling!<br/><br/>Went to &quot;Tix for Tonight&quot; and got half price tickets for Mystere Cirque Du Soleil, at TI - great show. I'm not easily impressed but this show was awesome. I reccomend seeing it.<br/><br/>The pool is not huge compared to others i've seen in Vegas, but it did the job. It was a necessity, since temps soared to 107 degrees while we were there! Tip - it gets busy quickly, so grab your seats early! They played a good selection of music at the pool, so i didn't need my ipod.<br/><br/>We rented a car one day and went to the Hoover Dam again. Visited a few outlet malls outside Las Vegas. We have found that this is key when in Vegas. You need to get away from the hustle and bustle for a while.<br/><br/>All in all - we enjoyed our stay at Treasure Island. Don't believe all the &quot;bad&quot; reviews on here. I've learned that people are nit-picky and have nothing better to do than post a bad review of hotels. Give TI a shot. We did, and it was worth it.	4	-1	-1	-1	4	4	-1	5
UR114431867	A4EC2B1A47E31743FA4B0AB12E8E9AFA	Treasure Island - TI Hotel & Casino	Las_Vegas_Nevada	2011-06-19	Glad to leave	1	0	This hotel is dingy and depressing. On arrival we were told we couldn't have the room we booked and that bookings weren't guaranteed until arrival. We were offered a swap the next day between 12 and 3- not what we wanted to spend our holiday time doing or at the hotels convenience not ours. Food was average, service slow and poor. Prices ludicrous for everything- expect to pay at least double. We drove 2 mins away for food at reasonable prices. We had to ask for hand towels and flannels as there were none in the room. Water did not drain properly from sink or bath. TV was tiny. Staff were rude.	2	3	-1	2	3	2	-1	-1
UR114529163	334FD36474010F6C34ECD7415A32D40F	Treasure Island - TI Hotel & Casino	Las_Vegas_Nevada	2011-06-20	Still a nice hotel in a good location	4	0	Stayed here in June 2011 for two main reasons: 1) VERY close to Palazzo where we took my mom to see Jersey Boys, and 2) Good room rates. Even after you add in the $25 PER DAY &quot;resort fee&quot; which I hate, and is just plain sneaky, it was a pretty good value. The hotel was clean and comfortable. We had a couple of really good meals at Isla, the Mexican restaurant in the hotel. Probably not going back to Vegas anytime soon, but I wouldn't hesitate to stay here again if I did.	4	-1	-1	-1	4	4	-1	4
